Start at 3431
191647.00,15.40,33.58,-17.00,degress
191823.00,13.00,17.00,-17.00,Direct
193000.00,17.77,29.63,-15.00,degress
193183.00,15.00,15.00,-15.00,Direct
194367.00,16.59,33.58,-16.00,degress
194544.00,14.00,17.00,-16.00,Direct
195722.00,17.77,33.58,-16.00,degress
195906.00,15.00,17.00,-16.00,Direct
197090.00,16.59,33.58,-16.00,degress
197264.00,14.00,17.00,-16.00,Direct
198440.00,16.59,33.58,-16.00,degress
198625.00,14.00,17.00,-16.00,Direct
199809.00,16.59,33.58,-16.00,degress
199985.00,14.00,17.00,-16.00,Direct
201162.00,24.88,31.60,-10.00,degress
201347.00,21.00,16.00,-10.00,Direct
203531.00,-66.00,0.00,17.00,degress
203706.00,-33.00,0.00,17.00,Direct
204882.00,-38.00,-1.87,16.00,degress
205066.00,-19.00,-1.00,16.00,Direct
208503.00,-84.00,31.60,20.00,degress
208679.00,-42.00,16.00,20.00,Direct
210863.00,-124.00,39.50,19.00,degress
211046.00,-62.00,20.00,19.00,Direct
212229.00,-94.00,0.00,7.00,degress
212405.00,-47.00,0.00,7.00,Direct
213581.00,-98.00,29.63,22.00,degress
213767.00,-49.00,15.00,22.00,Direct
215950.00,-118.00,47.40,23.00,degress
216126.00,-59.00,24.00,23.00,Direct
217303.00,-84.00,57.28,22.00,degress
217486.00,-42.00,29.00,22.00,Direct
218669.00,-112.00,21.73,26.00,degress
218845.00,-56.00,11.00,26.00,Direct
220021.00,-104.00,9.88,30.00,degress
220207.00,-52.00,5.00,30.00,Direct
221393.00,-136.00,-3.73,27.00,degress
221571.00,-68.00,-2.00,27.00,Direct
222747.00,-110.00,-3.73,22.00,degress
222932.00,-55.00,-2.00,22.00,Direct
225118.00,-108.00,-3.73,24.00,degress
225295.00,-54.00,-2.00,24.00,Direct
227475.00,-110.00,-3.73,23.00,degress
227659.00,-55.00,-2.00,23.00,Direct
230846.00,-134.00,-5.60,17.00,degress
231022.00,-67.00,-3.00,17.00,Direct
232199.00,-156.00,-3.73,15.00,degress
232383.00,-78.00,-2.00,15.00,Direct
233566.00,-148.00,-1.87,19.00,degress
233743.00,-74.00,-1.00,19.00,Direct
234925.00,-140.00,-1.87,19.00,degress
235109.00,-70.00,-1.00,19.00,Direct
236294.00,-142.00,-5.60,20.00,degress
236472.00,-71.00,-3.00,20.00,Direct
238652.00,-148.00,-1.87,17.00,degress
238837.00,-74.00,-1.00,17.00,Direct
244028.00,-154.00,-3.73,15.00,degress
244205.00,-77.00,-2.00,15.00,Direct
245384.00,-146.00,-1.87,18.00,degress
245569.00,-73.00,-1.00,18.00,Direct
246753.00,-158.00,-1.87,15.00,degress
246929.00,-79.00,-1.00,15.00,Direct
248105.00,-140.00,-1.87,20.00,degress
248287.00,-70.00,-1.00,20.00,Direct
250472.00,-166.00,-3.73,12.00,degress
250649.00,-83.00,-2.00,12.00,Direct
251827.00,-154.00,-3.73,16.00,degress
252011.00,-77.00,-2.00,16.00,Direct
253195.00,-172.00,-1.87,10.00,degress
253373.00,-86.00,-1.00,10.00,Direct
254552.00,-168.00,-1.87,12.00,degress
254736.00,-84.00,-1.00,12.00,Direct
255921.00,-164.00,-3.73,14.00,degress
256099.00,-82.00,-2.00,14.00,Direct
257276.00,-174.00,-3.73,9.00,degress
257463.00,-87.00,-2.00,9.00,Direct
258644.00,-162.00,-1.87,14.00,degress
258826.00,-81.00,-1.00,14.00,Direct
260003.00,-148.00,-1.87,18.00,degress
260189.00,-74.00,-1.00,18.00,Direct
262374.00,-158.00,-1.87,15.00,degress
262551.00,-79.00,-1.00,15.00,Direct
263730.00,-150.00,0.00,18.00,degress
263914.00,-75.00,0.00,18.00,Direct
265105.00,-126.00,0.00,24.00,degress
265283.00,-63.00,0.00,24.00,Direct
266462.00,-148.00,-1.87,18.00,degress
